time,flex_load_kwh,ev_demand_kwh,pv_gen_kwh,pv_used_kwh,batt_discharge_kwh,batt_charge_kwh,bess_soc_kwh,grid_energy_kwh,grid_cost_pln,co2_emission_kg
2024-08-28 11:00:00+02:00,397.508653045,0,780,780,0,0,0,0,0,0
2024-08-28 12:00:00+02:00,398.508653045,0,1254.900055,1254.900055,0,0,0,0,0,0
2024-08-28 13:00:00+02:00,399.508653045,0,1656,1656,0,0,0,0,0,0
2024-08-28 14:00:00+02:00,400.508653045,0,1892.700073,1892.700073,0,0,0,0,0,0
2024-08-28 15:00:00+02:00,401.508653045,33.3333333333333,2017.200073,2017.200073,0,0,0,0,0,0
2024-08-28 16:00:00+02:00,402.508653045,83.3333333333333,1015.5,1015.5,0,0,0,0,0,0
2024-08-28 17:00:00+02:00,403.508653045,83.3333333333333,1911.899963,1911.899963,0,0,0,0,0,0
2024-08-28 18:00:00+02:00,404.508653045,83.3333333333333,352.5,352.5,0,0,0,0,0,0
2024-08-28 19:00:00+02:00,405.508653045,83.3333333333333,607.8000183,607.8000183,0,0,0,0,0,0
2024-08-28 20:00:00+02:00,406.508653045,33.3333333333333,65.40000343,65.40000343,0,0,0,0,0,0
2024-08-28 21:00:00+02:00,407.508653045,0,7.200000286,7.200000286,0,0,0,0,0,0
2024-08-28 22:00:00+02:00,408.508653045,0,6.300000429,6.300000429,0,0,0,0,0,0
2024-08-28 23:00:00+02:00,409.508653045,0,6,6,0,0,0,0,0,0
2024-08-29 00:00:00+02:00,410.508653045,0,0,0,0,0,0,0,0,0
2024-08-29 01:00:00+02:00,411.508653045,0,0,0,0,0,0,0,0,0
2024-08-29 02:00:00+02:00,412.508653045,0,0,0,0,0,0,0,0,0
2024-08-29 03:00:00+02:00,413.508653045,0,0,0,0,0,0,0,0,0
2024-08-29 04:00:00+02:00,414.508653045,0,0,0,0,0,0,0,0,0
2024-08-29 05:00:00+02:00,415.508653045,0,0,0,0,0,0,0,0,0
2024-08-29 06:00:00+02:00,416.508653045,0,0,0,0,0,0,0,0,0
2024-08-29 07:00:00+02:00,417.508653045,0,4.199999928,4.199999928,0,0,0,0,0,0
2024-08-29 08:00:00+02:00,418.508653045,0,25.5,25.5,0,0,0,0,0,0
2024-08-29 09:00:00+02:00,419.508653045,0,93.30000114,93.30000114,0,0,0,0,0,0
2024-08-29 10:00:00+02:00,420.508653045,0,243.9000092,243.9000092,0,0,0,0,0,0
2024-08-29 11:00:00+02:00,421.508653045,0,845.6999817,845.6999817,0,0,0,0,0,0
2024-08-29 12:00:00+02:00,422.508653045,0,656.4000092,656.4000092,0,0,0,0,0,0
2024-08-29 13:00:00+02:00,423.508653045,0,1688.399963,1688.399963,0,0,0,0,0,0
2024-08-29 14:00:00+02:00,424.508653045,0,2238.30011,2238.30011,0,0,0,0,0,0
2024-08-29 15:00:00+02:00,425.508653045,33.3333333333333,2320.200073,2320.200073,0,0,0,0,0,0
2024-08-29 16:00:00+02:00,426.508653045,83.3333333333333,2084.100037,2084.100037,0,0,0,0,0,0
2024-08-29 17:00:00+02:00,427.508653045,83.3333333333333,2035.5,2035.5,0,0,0,0,0,0
2024-08-29 18:00:00+02:00,428.508653045,83.3333333333333,1543.80011,1543.80011,0,0,0,0,0,0
2024-08-29 19:00:00+02:00,429.508653045,83.3333333333333,975.6000366,975.6000366,0,0,0,0,0,0
2024-08-29 20:00:00+02:00,430.508653045,33.3333333333333,240.2999954,240.2999954,0,0,0,0,0,0
2024-08-29 21:00:00+02:00,431.508653045,0,7.200000286,7.200000286,0,0,0,0,0,0
2024-08-29 22:00:00+02:00,432.508653045,0,0,0,0,0,0,0,0,0
2024-08-29 23:00:00+02:00,433.508653045,0,0,0,0,0,0,0,0,0
2024-08-30 00:00:00+02:00,434.508653045,0,0,0,0,0,0,0,0,0
2024-08-30 01:00:00+02:00,435.508653045,0,0,0,0,0,0,0,0,0
2024-08-30 02:00:00+02:00,436.508653045,0,0,0,0,0,0,0,0,0
2024-08-30 03:00:00+02:00,437.508653045,0,0,0,0,0,0,0,0,0
2024-08-30 04:00:00+02:00,438.508653045,0,0,0,0,0,0,0,0,0
2024-08-30 05:00:00+02:00,439.508653045,0,0,0,0,0,0,0,0,0
2024-08-30 06:00:00+02:00,440.508653045,0,0,0,0,0,0,0,0,0
2024-08-30 07:00:00+02:00,441.508653045,0,11.39999986,11.39999986,0,0,0,0,0,0
2024-08-30 08:00:00+02:00,442.508653045,0,220.5,220.5,0,0,0,0,0,0
2024-08-30 09:00:00+02:00,443.508653045,0,313.7999954,313.7999954,0,0,0,0,0,0
2024-08-30 10:00:00+02:00,444.508653045,0,410.4000092,410.4000092,0,0,0,0,0,0
2024-08-30 11:00:00+02:00,445.508653045,0,805.8000183,805.8000183,0,0,0,0,0,0
2024-08-30 12:00:00+02:00,446.508653045,0,1328.400055,1328.400055,0,0,0,0,0,0
2024-08-30 13:00:00+02:00,447.508653045,0,1795.200073,1795.200073,0,0,0,0,0,0
2024-08-30 14:00:00+02:00,448.508653045,0,2150.100037,2150.100037,0,0,0,0,0,0
2024-08-30 15:00:00+02:00,449.508653045,33.3333333333333,2329.200073,2329.200073,0,0,0,0,0,0
2024-08-30 16:00:00+02:00,450.508653045,83.3333333333333,2373.30011,2373.30011,0,0,0,0,0,0
2024-08-30 17:00:00+02:00,451.508653045,83.3333333333333,1935,1935,0,0,0,0,0,0
2024-08-30 18:00:00+02:00,452.508653045,83.3333333333333,1606.5,1606.5,0,0,0,0,0,0
2024-08-30 19:00:00+02:00,453.508653045,83.3333333333333,219.6000137,219.6000137,0,0,0,0,0,0
2024-08-30 20:00:00+02:00,454.508653045,33.3333333333333,121.5,121.5,0,0,0,0,0,0
2024-08-30 21:00:00+02:00,455.508653045,0,5.699999928,5.699999928,0,0,0,0,0,0
